model,file,name,value,min,max,module,description,default
glm_aed,glm3.nml,light/Kw,0.58,0.1,5.52,hydrodynamic,,
glm_aed,met,MET_wndspd,1,0.7,1.3,hydrodynamic,,
glm_aed,met,MET_radswd,1,0.7,1.3,hydrodynamic,,
glm_aed,glm3.nml,mixing/coef_mix_conv,0.14,0.1,0.2,hydrodynamic,,
glm_aed,glm3.nml,mixing/coef_wind_stir,0.21,0.2,0.3,hydrodynamic,,
glm_aed,glm3.nml,mixing/coef_mix_shear,0.14,0.1,0.2,hydrodynamic,,
glm_aed,glm3.nml,mixing/coef_mix_turb,0.56,0.2,0.7,hydrodynamic,,
glm_aed,glm3.nml,mixing/coef_mix_hyp,0.74,0.4,0.8,hydrodynamic,,
glm_aed,glm3.nml,outflow/seepage_rate,0,-0.01,0,hydrodynamic,,
glm_aed,wdr,outflow,1,0.5,2.5,hydrodynamic,,
gotm_wet,gotm.yaml,turbulence/turb_param/k_min,6.32E-07,1.00E-09,1.00E-05,hydrodynamic,,
gotm_wet,gotm.yaml,light_extinction/A/constant_value,0.55,0.395,0.659,hydrodynamic,,
gotm_wet,gotm.yaml,light_extinction/g1/constant_value,0.59,0.44,0.74,hydrodynamic,,
gotm_wet,gotm.yaml,light_extinction/g2/constant_value,0.2,0.05,2.7,hydrodynamic,,
gotm_wet,met,MET_wndspd,1,0.7,1.3,hydrodynamic,,
gotm_wet,met,MET_radswd,1,0.7,1.3,hydrodynamic,,
gotm_wet,wdr,outflow,1,0.5,2.5,hydrodynamic,,
dy_cd,cfg,light_extinction_coefficient/7,0.9,0.1,1.4,hydrodynamic,,
dy_cd,dyresm3p1.par,vertical_mixing_coeff/15,200,50,750,hydrodynamic,,
dy_cd,met,MET_wndspd,1,0.7,1.3,hydrodynamic,,
dy_cd,wdr,outflow,1,0.5,2.5,hydrodynamic,,
