time,flow,temp,salt,OXY_oxy,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads,NIT_amm,NIT_nit,OGM_don,OGM_pon,OGM_doc,OGM_poc,SIL_rsi,NCS_ss1,NCS_ss2,PHY_cyano,PHY_green,PHY_diatom
2019-07-01,0.38482,10.13819,0,356.81396,0.00493,0.00016,0.00064,0.00239,0.06255,0.02004,0.03568,0.05353,0.2363,0.35445,10,0.58678,0,0.1,0.1,0.1
2019-07-02,0.28996,10.15899,0,356.64062,0.00697,0.00025,0.00099,0.00371,0.0902,0.0353,0.05835,0.08752,0.38638,0.57957,10,0.44775,0,0.1,0.1,0.1
2019-07-03,0.23242,10.18122,0,356.45552,0.0078,0.00025,0.00098,0.00368,0.07113,0.0102,0.02331,0.03497,0.15437,0.23156,10,0.26844,0,0.1,0.1,0.1
2019-07-04,0.2061,10.20488,0,356.25873,0.00926,0.00034,0.00137,0.00512,0.11227,0.04056,0.06763,0.10145,0.44785,0.67178,10,0.34715,0,0.1,0.1,0.1
2019-07-05,0.15955,10.22996,0,356.05034,0.00989,0.00032,0.00129,0.00485,0.0949,0.01078,0.02802,0.04203,0.18556,0.27834,10,0.08714,0,0.1,0.1,0.1
2019-07-06,0.15341,10.25645,0,355.83046,0.00969,0.00032,0.00127,0.00475,0.11874,0.01911,0.04627,0.06941,0.30644,0.45965,10,0.09083,0,0.1,0.1,0.1
2019-07-07,0.18052,10.28434,0,355.59919,0.00821,0.00027,0.00107,0.00403,0.10425,0.02386,0.04813,0.0722,0.31873,0.4781,10,0.08874,0,0.1,0.1,0.1
2019-07-08,0.19322,10.31363,0,355.35663,0.00766,0.00025,0.00099,0.00372,0.1153,0.02762,0.05799,0.08698,0.38399,0.57598,10,0.09316,0,0.1,0.1,0.1
2019-07-09,0.16454,10.3443,0,355.1029,0.00969,0.00032,0.00126,0.00474,0.09476,0.01203,0.02994,0.04492,0.19829,0.29744,10,0.08326,0,0.1,0.1,0.1
2019-07-10,0.41908,10.37636,0,354.83811,0.04332,0.00262,0.01048,0.03931,0.38259,0.21179,0.35676,0.53514,2.36249,3.54373,10,6.67915,0,0.1,0.1,0.1
2019-07-11,0.41603,10.40978,0,354.56239,0.00472,0.00015,6e-04,0.00224,0.04308,0.00559,0.01332,0.01998,0.08822,0.13233,10,0.90449,0,0.1,0.1,0.1
2019-07-12,0.23088,10.44456,0,354.27587,0.00757,0.00024,0.00097,0.00363,0.07167,0.00831,0.0213,0.03195,0.14107,0.21161,10,0.26692,0,0.1,0.1,0.1
2019-07-13,0.17126,10.48068,0,353.97867,0.00911,3e-04,0.0012,0.00451,0.09113,0.00945,0.02612,0.03918,0.17296,0.25944,10,0.0869,0,0.1,0.1,0.1
2019-07-14,0.1493,10.51815,0,353.67094,0.01001,0.00033,0.00133,0.00497,0.10186,0.00984,0.02857,0.04286,0.18919,0.28379,10,0.09803,0,0.1,0.1,0.1
2019-07-15,0.13862,10.55694,0,353.35281,0.01061,0.00035,0.00141,0.00527,0.10889,0.01008,0.03018,0.04527,0.19986,0.29979,10,0.10718,0,0.1,0.1,0.1
2019-07-16,0.13136,10.59704,0,353.02443,0.01111,0.00037,0.00148,0.00553,0.11488,0.01032,0.03159,0.04738,0.20918,0.31377,10,0.11327,0,0.1,0.1,0.1
2019-07-17,0.12521,10.63845,0,352.68594,0.01162,0.00039,0.00154,0.00579,0.1208,0.01057,0.03299,0.04948,0.21843,0.32765,10,0.11848,0,0.1,0.1,0.1
2019-07-18,0.15653,10.68115,0,352.3375,0.00871,0.00029,0.00115,0.00433,0.1185,0.02538,0.05361,0.08042,0.35504,0.53256,10,0.08309,0,0.1,0.1,0.1
2019-07-19,0.29235,10.72513,0,351.97927,0.01219,0.00064,0.00255,0.00957,0.20673,0.11403,0.18384,0.27576,1.21739,1.82608,10,1.40787,0,0.1,0.1,0.1
2019-07-20,0.33558,10.77037,0,351.6114,0.00651,0.00025,0.00099,0.0037,0.08188,0.02751,0.04896,0.07345,0.32425,0.48637,10,0.66939,0,0.1,0.1,0.1
2019-07-21,0.20652,10.81687,0,351.23406,0.00814,0.00026,0.00105,0.00395,0.08713,0.01162,0.02913,0.04369,0.19288,0.28932,10,0.20993,0,0.1,0.1,0.1
2019-07-22,0.15599,10.8646,0,350.84741,0.00981,0.00033,0.0013,0.00489,0.10188,0.01008,0.02892,0.04338,0.19151,0.28727,10,0.08875,0,0.1,0.1,0.1
2019-07-23,0.15692,10.91355,0,350.45164,0.00908,3e-04,0.00121,0.00453,0.10673,0.01541,0.03764,0.05645,0.24923,0.37384,10,0.08626,0,0.1,0.1,0.1
2019-07-24,0.18593,10.96372,0,350.0469,0.00818,0.00027,0.00108,0.00406,0.10962,0.02288,0.04848,0.07272,0.32106,0.48158,10,0.09549,0,0.1,0.1,0.1
2019-07-25,0.14755,11.01508,0,349.63338,0.01026,0.00034,0.00137,0.00512,0.10767,0.01071,0.03074,0.04611,0.20358,0.30536,10,0.09462,0,0.1,0.1,0.1
2019-07-26,0.1315,11.06761,0,349.21125,0.01112,0.00037,0.00148,0.00557,0.1189,0.01055,0.03273,0.0491,0.21676,0.32514,10,0.11056,0,0.1,0.1,0.1
2019-07-27,0.12291,11.12132,0,348.78071,0.01174,0.00039,0.00157,0.00589,0.12674,0.01066,0.03432,0.05148,0.22727,0.34091,10,0.11956,0,0.1,0.1,0.1
2019-07-28,0.19737,11.17617,0,348.34192,0.01307,0.00062,0.0025,0.00936,0.25532,0.15216,0.22893,0.34339,1.51598,2.27397,10,1.11087,0,0.1,0.1,0.1
2019-07-29,0.17094,11.23215,0,347.89509,0.00964,0.00032,0.00128,0.0048,0.10072,0.00997,0.0289,0.04335,0.19138,0.28707,10,0.12824,0,0.1,0.1,0.1
2019-07-30,0.12939,11.28924,0,347.4404,0.01167,0.00039,0.00156,0.00586,0.12596,0.01095,0.03461,0.05191,0.22916,0.34374,10,0.10422,0,0.1,0.1,0.1
2019-07-31,0.11385,11.34744,0,346.97804,0.01277,0.00043,0.00171,0.00642,0.13981,0.01136,0.03753,0.05629,0.2485,0.37275,10,0.12479,0,0.1,0.1,0.1
2019-08-01,0.22592,11.40671,0,346.50821,0.01963,0.00113,0.00451,0.01691,0.41725,0.26578,0.41261,0.61892,2.73235,4.09853,10,2.41549,0,0.1,0.1,0.1
2019-08-02,0.3674,11.46705,0,346.0311,0.00528,0.00017,0.00069,0.00258,0.06152,0.01219,0.02514,0.03771,0.16648,0.24973,10,0.80945,0,0.1,0.1,0.1
2019-08-03,0.20853,11.52843,0,345.54691,0.0081,0.00026,0.00105,0.00396,0.09279,0.01329,0.03252,0.04878,0.21536,0.32304,10,0.19913,0,0.1,0.1,0.1
2019-08-04,0.1586,11.59085,0,345.05584,0.00935,0.00031,0.00125,0.00467,0.12833,0.02153,0.05142,0.07713,0.34052,0.51078,10,0.07931,0,0.1,0.1,0.1
2019-08-05,0.14449,11.65427,0,344.55809,0.0105,0.00035,0.00139,0.00523,0.12249,0.01574,0.04088,0.06131,0.27069,0.40603,10,0.09019,0,0.1,0.1,0.1
2019-08-06,0.13238,11.71868,0,344.05387,0.01083,0.00036,0.00144,0.00542,0.13701,0.02092,0.05066,0.07599,0.33549,0.50324,10,0.10523,0,0.1,0.1,0.1
2019-08-07,0.1428,11.78406,0,343.54337,0.01013,0.00034,0.00134,0.00503,0.12226,0.01766,0.0435,0.06525,0.28806,0.4321,10,0.08886,0,0.1,0.1,0.1
2019-08-08,0.12064,11.85039,0,343.02681,0.01205,4e-04,0.0016,0.006,0.1278,0.0123,0.03584,0.05376,0.23734,0.35601,10,0.11473,0,0.1,0.1,0.1
2019-08-09,0.10929,11.91765,0,342.50439,0.01263,0.00043,0.00171,0.00642,0.13821,0.01257,0.0377,0.05654,0.24962,0.37443,10,0.12977,0,0.1,0.1,0.1
2019-08-10,0.17674,11.98583,0,341.97631,0.01047,0.00045,0.00181,0.00679,0.22746,0.12011,0.18811,0.28217,1.24569,1.86853,10,0.65537,0,0.1,0.1,0.1
2019-08-11,0.20848,12.0549,0,341.44279,0.0085,0.00029,0.00118,0.00442,0.11764,0.03762,0.06718,0.10077,0.44487,0.6673,10,0.25735,0,0.1,0.1,0.1
2019-08-12,0.19692,12.12484,0,340.90402,0.00979,0.00039,0.00154,0.00578,0.15512,0.06221,0.10578,0.15867,0.70049,1.05073,10,0.37727,0,0.1,0.1,0.1
2019-08-13,0.20928,12.19563,0,340.36023,0.00761,0.00025,0.00099,0.00369,0.09723,0.02157,0.04362,0.06543,0.28888,0.43332,10,0.15655,0,0.1,0.1,0.1
2019-08-14,0.15096,12.26725,0,339.81162,0.01021,0.00034,0.00134,0.00503,0.10719,0.01385,0.03383,0.05075,0.22404,0.33606,10,0.08199,0,0.1,0.1,0.1
2019-08-15,0.1212,12.33968,0,339.2584,0.01182,0.00039,0.00156,0.00584,0.12296,0.01264,0.03475,0.05213,0.23012,0.34518,10,0.11336,0,0.1,0.1,0.1
2019-08-16,0.10927,12.4129,0,338.70078,0.0124,0.00042,0.00167,0.00627,0.13324,0.01307,0.03681,0.05521,0.24373,0.3656,10,0.12941,0,0.1,0.1,0.1
2019-08-17,0.10273,12.48688,0,338.13897,0.01187,0.00044,0.00175,0.00657,0.14055,0.01443,0.03834,0.05751,0.25389,0.38083,10,0.13567,0,0.1,0.1,0.1
2019-08-18,0.40203,12.56161,0,337.57317,0.06751,0.00397,0.01589,0.0596,0.4975,0.25511,0.44568,0.66852,2.95134,4.42701,10,10.81037,0,0.1,0.1,0.1
2019-08-19,0.29828,12.63705,0,337.0036,0.00651,0.00023,0.00092,0.00344,0.08191,0.02324,0.04356,0.06534,0.28846,0.43269,10,0.45172,0,0.1,0.1,0.1
2019-08-20,0.18402,12.7132,0,336.43048,0.00887,0.00029,0.00115,0.00431,0.08671,0.01032,0.02565,0.03847,0.16984,0.25476,10,0.16315,0,0.1,0.1,0.1
2019-08-21,0.13052,12.79002,0,335.85399,0.01114,0.00037,0.00146,0.00548,0.11342,0.01214,0.0323,0.04845,0.2139,0.32086,10,0.09982,0,0.1,0.1,0.1
2019-08-22,0.11156,12.8675,0,335.27436,0.01224,4e-04,0.00162,0.00607,0.12744,0.01288,0.03545,0.05318,0.23476,0.35215,10,0.12493,0,0.1,0.1,0.1
2019-08-23,0.10247,12.94561,0,334.6918,0.01173,0.00043,0.00172,0.00646,0.13674,0.01456,0.03747,0.0562,0.24813,0.37219,10,0.13498,0,0.1,0.1,0.1
2019-08-24,0.09632,13.02433,0,334.1065,0.01232,0.00045,0.00181,0.00679,0.14408,0.01501,0.03918,0.05878,0.25948,0.38922,10,0.14434,0,0.1,0.1,0.1
2019-08-25,0.09117,13.10363,0,333.51868,0.0129,0.00047,0.0019,0.00712,0.15119,0.01547,0.04088,0.06132,0.2707,0.40604,10,0.15227,0,0.1,0.1,0.1
2019-08-26,0.08645,13.18349,0,332.92854,0.01351,5e-04,0.00199,0.00746,0.15852,0.01594,0.04264,0.06395,0.28234,0.42351,10,0.16004,0,0.1,0.1,0.1
2019-08-27,0.08199,13.26389,0,332.33628,0.01416,0.00052,0.00209,0.00782,0.16625,0.01643,0.04449,0.06674,0.29463,0.44195,10,0.1681,0,0.1,0.1,0.1
2019-08-28,0.07785,13.3448,0,331.74212,0.01481,0.00055,0.00218,0.00819,0.17407,0.01691,0.04636,0.06954,0.30702,0.46053,10,0.17624,0,0.1,0.1,0.1
2019-08-29,0.167,13.42621,0,331.14624,0.00665,0.00022,0.00087,0.00327,0.15415,0.0538,0.09991,0.14986,0.66161,0.99241,10,0.06925,0,0.1,0.1,0.1
2019-08-30,0.9359,13.50808,0,330.54886,0.02185,0.00133,0.00531,0.01992,0.23037,0.12053,0.21086,0.31629,1.39636,2.09453,10,3.65908,0,0.1,0.1,0.1
2019-08-31,1.15925,13.59039,0,329.95017,0.00166,5e-05,0.00021,0.00079,0.01584,0.0027,0.0056,0.00841,0.03711,0.05567,10,0.82264,0,0.1,0.1,0.1
2019-09-01,0.45756,13.67311,0,329.35036,0.004,0.00013,5e-04,0.00189,0.03568,0.00486,0.01086,0.01629,0.07192,0.10788,10,0.93324,0,0.1,0.1,0.1
2019-09-02,0.23347,13.75623,0,328.74965,0.00699,0.00022,0.00089,0.00333,0.06416,0.00801,0.01906,0.02859,0.1262,0.18929,10,0.2301,0,0.1,0.1,0.1
2019-09-03,0.38662,13.83972,0,328.14822,0.03907,0.00234,0.00936,0.0351,0.31208,0.1525,0.27104,0.40656,1.79485,2.69227,10,5.53226,0,0.1,0.1,0.1
2019-09-04,0.4154,13.92355,0,327.54626,0.01098,0.00056,0.00226,0.00847,0.11024,0.0458,0.0827,0.12405,0.54767,0.8215,10,1.66737,0,0.1,0.1,0.1
2019-09-05,0.25622,14.00771,0,326.94397,0.00644,2e-04,0.00082,0.00306,0.05884,0.00839,0.01913,0.0287,0.1267,0.19004,10,0.22582,0,0.1,0.1,0.1
2019-09-06,0.17606,14.09215,0,326.34154,0.00842,0.00027,0.00109,0.0041,0.07859,0.0089,0.02297,0.03445,0.15208,0.22812,10,0.11421,0,0.1,0.1,0.1
2019-09-07,0.14697,14.17686,0,325.73916,0.00945,0.00031,0.00124,0.00463,0.09038,0.00927,0.02568,0.03851,0.17003,0.25504,10,0.09775,0,0.1,0.1,0.1
2019-09-08,0.13374,14.26182,0,325.13701,0.01016,0.00033,0.00133,0.00499,0.09765,0.00941,0.02729,0.04093,0.18071,0.27106,10,0.11004,0,0.1,0.1,0.1
2019-09-09,0.12523,14.34699,0,324.53528,0.01078,0.00035,0.00141,0.0053,0.10356,0.00949,0.02862,0.04293,0.1895,0.28425,10,0.11801,0,0.1,0.1,0.1
2019-09-10,0.11844,14.43236,0,323.93416,0.01138,0.00037,0.0015,0.00561,0.10902,0.00955,0.02985,0.04478,0.19768,0.29651,10,0.12439,0,0.1,0.1,0.1
2019-09-11,0.18879,14.5179,0,323.33381,0.00828,0.00031,0.00123,0.0046,0.13372,0.05197,0.09107,0.13661,0.6031,0.90465,10,0.26145,0,0.1,0.1,0.1
2019-09-12,0.40803,14.60357,0,322.73443,0.00688,0.00031,0.00126,0.00471,0.11522,0.05793,0.09708,0.14562,0.64287,0.9643,10,0.92389,0,0.1,0.1,0.1
2019-09-13,0.30196,14.68937,0,322.13619,0.00771,3e-04,0.00121,0.00454,0.09353,0.03409,0.0616,0.0924,0.40792,0.61187,10,0.65936,0,0.1,0.1,0.1
2019-09-14,0.46672,14.77526,0,321.53927,0.20824,0.01181,0.04722,0.17708,0.66435,0.29928,0.56212,0.84318,3.72244,5.58365,10,35.30792,0,0.1,0.1,0.1
2019-09-15,0.31856,14.86121,0,320.94383,0.00635,0.00022,0.00089,0.00335,0.0663,0.01683,0.03389,0.05084,0.22444,0.33666,10,0.54111,0,0.1,0.1,0.1
2019-09-16,0.19323,14.94721,0,320.35005,0.00857,0.00028,0.00111,0.00416,0.07248,0.0069,0.02081,0.03121,0.13779,0.20669,10,0.15924,0,0.1,0.1,0.1
2019-09-17,0.34946,15.03322,0,319.7581,0.06786,0.00401,0.01603,0.06012,0.45374,0.21843,0.39528,0.59292,2.61757,3.92636,10,10.44879,0,0.1,0.1,0.1
2019-09-18,0.31109,15.11922,0,319.16814,0.0285,0.00158,0.0063,0.02363,0.25001,0.10986,0.20276,0.30414,1.34269,2.01403,10,3.91416,0,0.1,0.1,0.1
2019-09-19,0.56687,15.20518,0,318.58034,0.01006,0.00054,0.00214,0.00803,0.11745,0.05472,0.09797,0.14696,0.64877,0.97316,10,1.79101,0,0.1,0.1,0.1
2019-09-20,0.5988,15.29109,0,317.99486,0.02457,0.0014,0.00558,0.02094,0.17281,0.07573,0.14194,0.21291,0.93995,1.40992,10,4.2156,0,0.1,0.1,0.1
2019-09-21,0.47408,15.37691,0,317.41186,0.00422,0.00013,0.00054,0.00202,0.0326,0.00343,0.01007,0.0151,0.06665,0.09998,10,0.91058,0,0.1,0.1,0.1
2019-09-22,0.24618,15.46262,0,316.83149,0.00723,0.00023,0.00093,0.00348,0.05705,0.00493,0.01633,0.02449,0.10811,0.16217,10,0.22166,0,0.1,0.1,0.1
2019-09-23,0.17361,15.54819,0,316.25392,0.00902,3e-04,0.00119,0.00445,0.07571,0.00586,0.02105,0.03158,0.1394,0.2091,10,0.10218,0,0.1,0.1,0.1
2019-09-24,0.14666,15.63359,0,315.67928,0.01008,0.00033,0.00133,0.005,0.0866,0.00616,0.0236,0.03541,0.15631,0.23447,10,0.09883,0,0.1,0.1,0.1
