time      ,   ShortWave,    LongWave,     AirTemp,      RelHum,   WindSpeed,        Rain,        Snow,     AirPres
2019-01-01,     311.566,     368.307,      19.526,      84.875,       5.290,     0.00044,     0.00000,100667.00000
2019-01-02,     322.271,     360.538,      19.502,      78.749,       5.293,     0.00096,     0.00000,100714.00000
2019-01-03,     323.851,     375.792,      20.136,      87.794,       7.359,     0.00096,     0.00000,100706.00000
2019-01-04,     360.554,     332.370,      19.130,      78.064,       6.216,     0.00001,     0.00000,100998.00000
2019-01-05,     359.495,     336.036,      19.187,      78.552,       4.678,     0.00000,     0.00000,101124.00000
2019-01-06,     370.296,     338.054,      20.210,      79.988,       5.719,     0.00009,     0.00000,101016.00000
2019-01-07,     364.478,     351.755,      20.564,      81.369,       4.945,     0.00009,     0.00000,101073.00000
2019-01-08,     343.353,     340.410,      19.702,      73.869,       4.337,     0.00009,     0.00000,101152.00000
2019-01-09,     340.162,     355.796,      21.308,      77.773,       2.233,     0.00012,     0.00000,101147.00000
2019-01-10,     332.098,     361.680,      21.445,      78.512,       3.388,     0.00007,     0.00000,101225.00000
2019-01-11,     334.023,     345.345,      20.414,      76.538,       5.247,     0.00137,     0.00000,101332.00000
2019-01-12,     349.880,     346.638,      20.686,      75.935,       2.147,     0.01260,     0.00000,101222.00000
2019-01-13,     262.288,     359.439,      20.064,      75.469,       4.344,     0.01322,     0.00000,100464.00000
2019-01-14,     303.653,     336.828,      16.928,      76.208,       4.642,     0.00531,     0.00000, 99914.80000
2019-01-15,     314.642,     350.770,      19.099,      77.448,       7.004,     0.00267,     0.00000, 99996.50000
2019-01-16,     323.046,     361.378,      19.810,      80.289,       8.556,     0.00032,     0.00000,100096.00000
2019-01-17,     318.481,     363.106,      19.826,      73.986,       7.325,     0.00066,     0.00000,100378.00000
2019-01-18,     266.169,     378.202,      20.372,      82.952,       4.959,     0.00131,     0.00000,100675.00000
2019-01-19,     307.213,     368.410,      20.759,      82.001,       6.345,     0.00131,     0.00000,100598.00000
2019-01-20,     341.228,     354.957,      19.536,      62.796,       7.607,     0.00024,     0.00000,100595.00000
2019-01-21,     286.476,     370.313,      19.921,      67.461,       9.239,     0.00024,     0.00000,100584.00000
2019-01-22,     292.373,     368.537,      19.942,      71.283,       7.273,     0.00214,     0.00000,100751.00000
2019-01-23,     286.785,     384.225,      20.618,      80.212,       6.554,     0.00215,     0.00000,100444.00000
2019-01-24,     322.616,     335.088,      18.823,      70.982,       5.569,     0.00014,     0.00000,100733.00000
2019-01-25,     319.098,     346.711,      18.889,      69.696,       3.544,     0.00014,     0.00000,101024.00000
2019-01-26,     323.167,     374.124,      19.225,      69.025,       4.310,     0.00053,     0.00000,101009.00000
2019-01-27,     282.226,     389.855,      20.840,      83.987,       6.012,     0.00054,     0.00000,101016.00000
2019-01-28,     315.308,     382.539,      21.197,      84.229,       6.190,     0.00029,     0.00000,101077.00000
2019-01-29,     301.909,     373.007,      22.334,      80.559,       3.270,     0.00029,     0.00000,101374.00000
2019-01-30,     313.256,     362.616,      21.949,      78.848,       3.090,     0.00005,     0.00000,101549.00000
2019-01-31,     324.918,     358.892,      21.254,      71.891,       2.947,     0.00026,     0.00000,101204.00000
2019-02-01,     299.961,     368.962,      21.232,      72.133,       4.109,     0.00197,     0.00000,100815.00000
2019-02-02,     268.529,     384.300,      21.096,      71.815,       3.275,     0.00197,     0.00000,101169.00000
2019-02-03,     309.172,     342.985,      20.726,      70.573,       5.315,     0.00001,     0.00000,101507.00000
2019-02-04,     331.279,     340.730,      21.040,      72.627,       1.848,     0.00001,     0.00000,101300.00000
2019-02-05,     320.582,     352.755,      21.227,      72.085,       3.267,     0.00123,     0.00000,101049.00000
2019-02-06,     282.964,     368.198,      20.841,      71.589,       4.096,     0.00123,     0.00000,101293.00000
2019-02-07,     283.323,     348.483,      19.397,      62.560,       6.511,     0.00080,     0.00000,101532.00000
2019-02-08,     267.185,     355.949,      19.933,      66.859,       6.448,     0.00068,     0.00000,101142.00000
2019-02-09,     297.377,     346.611,      20.333,      72.340,       5.405,     0.00022,     0.00000,100703.00000
2019-02-10,     326.420,     344.275,      21.261,      70.894,       3.293,     0.00141,     0.00000,100066.00000
2019-02-11,     295.630,     352.748,      21.162,      77.502,       4.762,     0.00141,     0.00000, 99920.60000
2019-02-12,     318.852,     349.053,      21.147,      76.074,       4.610,     0.00002,     0.00000,100296.00000
2019-02-13,     320.892,     339.603,      20.769,      79.086,       3.426,     0.00000,     0.00000,100488.00000
2019-02-14,     324.543,     344.676,      21.623,      74.833,       3.410,     0.00001,     0.00000,100606.00000
2019-02-15,     290.853,     344.939,      20.569,      67.335,       7.866,     0.00012,     0.00000,100515.00000
2019-02-16,     286.364,     353.393,      20.460,      72.000,       3.188,     0.00073,     0.00000,100535.00000
2019-02-17,     233.343,     368.205,      20.517,      74.446,       1.123,     0.00075,     0.00000,100750.00000
2019-02-18,     270.161,     344.513,      19.390,      66.330,       3.575,     0.00002,     0.00000,100830.00000
2019-02-19,     298.650,     373.177,      20.648,      71.574,       0.634,     0.00045,     0.00000,100770.00000
2019-02-20,     212.755,     389.041,      22.173,      79.312,       3.264,     0.00212,     0.00000,100892.00000
2019-02-21,     129.461,     393.443,      22.067,      76.819,       5.351,     0.01975,     0.00000,100889.00000
2019-02-22,     131.278,     400.320,      20.094,      87.127,       1.788,     0.01977,     0.00000,100205.00000
